,ReportedOrigin,Population,Neighbourhood#
0,Total_Immigrant_Population,175,70
1,Americas,20,70
2,Brazil,0,70
3,Colombia,0,70
4,El_Salvador,0,70
5,Guyana,0,70
6,Haiti,0,70
7,Jamaica,0,70
8,Mexico,0,70
9,Peru,0,70
10,Trinidad_and_Tobago,0,70
11,United_States,0,70
12,Other_places_of_birth_in_Americas,0,70
13,Europe,45,70
14,Bosnia_and_Herzegovina,0,70
15,Croatia,10,70
16,France,0,70
17,Germany,0,70
18,Greece,0,70
19,Hungary,0,70
20,Ireland,0,70
21,Italy,0,70
22,Netherlands,0,70
23,Poland,0,70
24,Portugal,10,70
25,Romania,0,70
26,Russian_Federation,0,70
27,Serbia,0,70
28,Ukraine,0,70
29,United_Kingdom,10,70
30,Other_places_of_birth_in_Europe,0,70
31,Africa,0,70
32,Algeria,0,70
33,Egypt,10,70
34,Ethiopia,0,70
35,Kenya,0,70
36,Morocco,0,70
37,Nigeria,0,70
38,Somalia,0,70
39,South_Africa_Republic_of,0,70
40,Other_places_of_birth_in_Africa,0,70
41,Asia,100,70
42,Afghanistan,0,70
43,Bangladesh,10,70
44,China,25,70
45,Hong_Kong,15,70
46,India,15,70
47,Iran,0,70
48,Iraq,0,70
49,Japan,0,70
50,Korea_South,0,70
51,Lebanon,0,70
52,Pakistan,0,70
53,Philippines,30,70
54,Sri_Lanka,0,70
55,Syria,0,70
56,Taiwan,0,70
57,Viet_Nam,0,70
58,Other_places_of_birth_in_Asia,0,70
59,Oceania_and_other_places_of_birth,10,70
60,Total_Immigrant_Population,150,77
61,Americas,30,77
62,Brazil,0,77
63,Colombia,0,77
64,El_Salvador,0,77
65,Guyana,0,77
66,Haiti,0,77
67,Jamaica,0,77
68,Mexico,0,77
69,Peru,0,77
70,Trinidad_and_Tobago,0,77
71,United_States,35,77
72,Other_places_of_birth_in_Americas,0,77
73,Europe,110,77
74,Bosnia_and_Herzegovina,0,77
75,Croatia,0,77
76,France,0,77
77,Germany,20,77
78,Greece,0,77
79,Hungary,0,77
80,Ireland,0,77
81,Italy,0,77
82,Netherlands,0,77
83,Poland,10,77
84,Portugal,0,77
85,Romania,0,77
86,Russian_Federation,0,77
87,Serbia,10,77
88,Ukraine,0,77
89,United_Kingdom,60,77
90,Other_places_of_birth_in_Europe,15,77
91,Africa,10,77
92,Algeria,0,77
93,Egypt,0,77
94,Ethiopia,10,77
95,Kenya,0,77
96,Morocco,0,77
97,Nigeria,0,77
98,Somalia,0,77
99,South_Africa_Republic_of,10,77
100,Other_places_of_birth_in_Africa,0,77
101,Asia,0,77
102,Afghanistan,0,77
103,Bangladesh,0,77
104,China,0,77
105,Hong_Kong,0,77
106,India,0,77
107,Iran,0,77
108,Iraq,0,77
109,Japan,0,77
110,Korea_South,0,77
111,Lebanon,0,77
112,Pakistan,0,77
113,Philippines,0,77
114,Sri_Lanka,0,77
115,Syria,0,77
116,Taiwan,0,77
117,Viet_Nam,0,77
118,Other_places_of_birth_in_Asia,0,77
119,Oceania_and_other_places_of_birth,0,77
120,Total_Immigrant_Population,180,85
121,Americas,0,85
122,Brazil,0,85
123,Colombia,0,85
124,El_Salvador,0,85
125,Guyana,0,85
126,Haiti,0,85
127,Jamaica,0,85
128,Mexico,0,85
129,Peru,0,85
130,Trinidad_and_Tobago,0,85
131,United_States,0,85
132,Other_places_of_birth_in_Americas,0,85
133,Europe,75,85
134,Bosnia_and_Herzegovina,10,85
135,Croatia,10,85
136,France,10,85
137,Germany,0,85
138,Greece,0,85
139,Hungary,0,85
140,Ireland,0,85
141,Italy,0,85
142,Netherlands,0,85
143,Poland,0,85
144,Portugal,10,85
145,Romania,20,85
146,Russian_Federation,0,85
147,Serbia,0,85
148,Ukraine,0,85
149,United_Kingdom,0,85
150,Other_places_of_birth_in_Europe,10,85
151,Africa,25,85
152,Algeria,0,85
153,Egypt,0,85
154,Ethiopia,0,85
155,Kenya,0,85
156,Morocco,0,85
157,Nigeria,0,85
158,Somalia,0,85
159,South_Africa_Republic_of,0,85
160,Other_places_of_birth_in_Africa,25,85
161,Asia,75,85
162,Afghanistan,0,85
163,Bangladesh,0,85
164,China,0,85
